lambda,Chlorophyll_a,Divinylchlorophyll_a,Chlorophyll_b,Divinylchlorophyll_b,Chlorophyll_c12,Fucoxanthin,19_BF,19_HF,Peri,Diad,Zeaxanthin,Alloxanthin,beta_Carotene,alpha_Carotene
484,0.00058,0.00079065,0.01616,0.0284,0.02777,0.03575,0.03314,0.03429,0.02874,0.04099,0.04656,0.04231,0.05285,0.0543
486,0.00052,0.00073027,0.01381,0.02589,0.02273,0.03622,0.03335,0.03464,0.02915,0.0431,0.04728,0.04333,0.05328,0.05421
488,0.00057,0.00071098,0.01108,0.02315,0.01827,0.03655,0.03311,0.03473,0.02945,0.04517,0.04773,0.04456,0.05333,0.0525
490,0.0006,0.0006887,0.00865,0.02039,0.01443,0.03676,0.03335,0.03451,0.02975,0.04661,0.04787,0.04563,0.05296,0.04981
492,0.0006,0.00066801,0.00704,0.01774,0.01141,0.03676,0.0329,0.03414,0.03005,0.04689,0.04737,0.04597,0.05195,0.04607
494,0.00057,0.00069416,0.00566,0.01526,0.00885,0.03658,0.03222,0.03327,0.03025,0.04585,0.04602,0.04554,0.04987,0.04073
496,0.0006,0.00070093,0.00452,0.01295,0.00673,0.03644,0.03156,0.03264,0.03038,0.04322,0.04412,0.04431,0.04769,0.036
498,0.00075,0.0007159,0.00365,0.01092,0.00522,0.03633,0.03135,0.03227,0.03052,0.03931,0.04051,0.04065,0.04364,0.02975
500,0.00077,0.00073593,0.00294,0.0091,0.00414,0.03615,0.03103,0.03199,0.03062,0.03329,0.03627,0.03594,0.03916,0.02379
502,0.00068,0.00074195,0.00241,0.00753,0.00325,0.03604,0.031,0.0319,0.03075,0.02855,0.03248,0.03139,0.03506,0.01953
504,0.00067,0.00073727,0.00201,0.00619,0.00261,0.03593,0.03124,0.03212,0.03082,0.02073,0.02851,0.02655,0.03106,0.0157
506,0.00093,0.00076351,0.00172,0.0051,0.00221,0.03582,0.03118,0.03243,0.03072,0.01623,0.02472,0.02192,0.02707,0.01253
508,0.00077,0.00076789,0.00151,0.00419,0.00202,0.03564,0.03112,0.03243,0.03069,0.01252,0.02111,0.0178,0.02334,0.00998
510,0.00064369,0.0007842,0.00135,0.00345,0.00187,0.03535,0.03124,0.03252,0.03049,0.00953,0.01773,0.01398,0.01982,0.00776
512,0.00064512,0.00079356,0.00127,0.00288,0.00171,0.03495,0.03082,0.03227,0.03028,0.00726,0.01475,0.01105,0.01684,0.00624
514,0.00065796,0.00081094,0.00119,0.00245,0.00163,0.03444,0.03079,0.0318,0.03012,0.00562,0.01218,0.00862,0.01407,0.00487
516,0.00066652,0.0007835,0.00114,0.00211,0.00162,0.03386,0.02996,0.031,0.02948,0.00439,0.00992,0.00671,0.01162,0.00393
518,0.00069507,0.00080981,0.00111,0.00185,0.00162,0.03292,0.02876,0.02984,0.02881,0.00351,0.00803,0.00523,0.00954,0.00317
520,0.00068651,0.00080883,0.00108,0.00168,0.00162,0.0319,0.0276,0.02835,0.02817,0.00287,0.0065,0.00404,0.00778,0.0026
522,0.00073218,0.00079532,0.00108,0.00154,0.00159,0.03081,0.02573,0.02679,0.02757,0.00239,0.00532,0.00331,0.00639,0.00218
524,0.00077785,0.0008144,0.00108,0.00148,0.00157,0.02932,0.02361,0.02458,0.0269,0.00199,0.00429,0.00272,0.00538,0.00184
526,0.0007964,0.00083715,0.00114,0.0014,0.00159,0.02809,0.02221,0.02278,0.02616,0.00167,0.00352,0.00225,0.00437,0.00161
528,0.00085207,0.00086214,0.00116,0.00137,0.00162,0.02624,0.0198,0.02048,0.02539,0.00148,0.00284,0.00191,0.00352,0.00142
530,0.0008906,0.00086771,0.00122,0.00137,0.00167,0.02435,0.01819,0.01824,0.02456,0.00132,0.00239,0.00166,0.00298,0.00128
